team_short,team_long
Abl Christian,Abilene-Christian-Wildcats
Air Force,Air-Force-Falcons
Akron,Akron-Zips
Alab A&M,Alabama-AM-Bulldogs
Alabama,Alabama-Crimson-Tide
Alabama St,Alabama-St-Hornets
Albany,Albany-Great-Danes
Alcorn State,Alcorn-St-Braves
American,American-Eagles
App State,Appalachian-St-Mountaineers
AR Lit Rock,Little-Rock-Trojans
Arizona,Arizona-Wildcats
Arizona St,Arizona-State-Sun-Devils
Ark Pine Bl,Arkansas-Pine-Bluff-Golden-Lions
Arkansas,Arkansas-Razorbacks
Arkansas St,Arkansas-St-Red-Wolves
Army,Army-Black-Knights
Auburn,Auburn-Tigers
Austin Peay,Austin-Peay-Governors
Ball State,Ball-St-Cardinals
Baylor,Baylor-Bears
Bellarmine,Bellarmine-Knights
Belmont,Belmont-Bruins
Binghamton,Binghamton-Bearcats
Boise State,Boise-St-Broncos
Boston Col,Boston-College-Eagles
Boston U,Boston-U-Terriers
Bowling Grn,Bowling-Green-Falcons
Bradley,Bradley-Braves
Bryant,Bryant-Bulldogs
Bucknell,Bucknell-Bison
Buffalo,Buffalo-Bulls
Butler,Butler-Bulldogs
BYU,Brigham-Young-Cougars
Cal Baptist,California-Baptist-Lancers
Cal Poly,Cal-Poly-SLO-Mustangs
Cal St Nrdge,CSU-Northridge-Matadors
California,California-Golden-Bears
Campbell,Campbell-Fighting-Camels
Canisius,Canisius-Golden-Griffins
Central Ark,Central-Arkansas-Bears
Central Conn,Central-Conn-St-Blue-Devils
Central FL,Central-Florida-Knights
Central Mich,Central-Michigan-Chippewas
Charl South,Charleston-Southern-Buccaneers
Charlotte,Charlotte-49ers
Chattanooga,Chattanooga-Mocs
Chicago St,Chicago-St-Cougars
Cincinnati,Cincinnati-Bearcats
Citadel,The-Citadel-Bulldogs
Clemson,Clemson-Tigers
Cleveland St,Cleveland-St-Vikings
Coastal Car,Coastal-Carolina-Chanticleers
Col Charlestn,Charleston-Cougars
Colgate,Colgate-Raiders
Colorado,Colorado-Buffaloes
Colorado St,Colorado-St-Rams
Connecticut,Connecticut-Huskies
Coppin State,Coppin-St-Eagles
Creighton,Creighton-Bluejays
CS Bakersfld,CSU-Bakersfield-Roadrunners
CS Fullerton,CSU-Fullerton-Titans
Davidson,Davidson-Wildcats
Dayton,Dayton-Flyers
Delaware,Delaware-Fightin-Blue-Hens
Delaware St,Delaware-State-Hornets
Denver,Denver-Pioneers
DePaul,DePaul-Blue-Demons
Detroit,Detroit-Mercy-Titans
Dixie State,Dixie-State-Trailblazers
Drake,Drake-Bulldogs
Drexel,Drexel-Dragons
Duke,Duke-Blue-Devils
Duquesne,Duquesne-Dukes
E Carolina,East-Carolina-Pirates
E Illinois,Eastern-Illinois-Panthers
E Kentucky,Eastern-Kentucky-Colonels
E Michigan,Eastern-Michigan-Eagles
E Tenn St,East-Tennessee-St-Buccaneers
E Washingtn,Eastern-Washington-Eagles
Elon,Elon-University-Phoenix
Evansville,Evansville-Purple-Aces
F Dickinson,Fairleigh-Dickinson-Knights
Fairfield,Fairfield-Stags
Fla Atlantic,Florida-Atlantic-Owls
Fla Gulf Cst,Florida-Gulf-Coast-Eagles
Florida,Florida-Gators
Florida A&M,Florida-AM-Rattlers
Florida Intl,Florida-International-Panthers
Florida St,Florida-State-Seminoles
Fordham,Fordham-Rams
Fresno St,Fresno-St-Bulldogs
Furman,Furman-Paladins
GA Southern,Georgia-Southern-Eagles
GA Tech,Georgia-Tech-Yellow-Jackets
Gard-Webb,Gardner-Webb-Runnin-Bulldogs
Geo Mason,George-Mason-Patriots
Geo Wshgtn,George-Washington-Colonials
Georgetown,Georgetown-Hoyas
Georgia,Georgia-Bulldogs
Georgia St,Georgia-St-Panthers
Gonzaga,Gonzaga-Bulldogs
Grambling St,Grambling-State-Tigers
Grd Canyon,Grand-Canyon-Antelopes
Hampton,Hampton-Pirates
Hartford,Hartford-Hawks
Hawaii,Hawaii-Rainbow-Warriors
High Point,High-Point-Panthers
Hofstra,Hofstra-Pride
Holy Cross,Holy-Cross-Crusaders
Houston,Houston-Cougars
Houston Bap,Houston-Baptist-Huskies
Howard,Howard-Bison
Idaho,Idaho-Vandals
Idaho State,Idaho-State-Bengals
IL-Chicago,Illinois-Chicago-Flames
Illinois,Illinois-Fighting-Illini
Illinois St,Illinois-St-Redbirds
Incar Word,Incarnate-Word-Cardinals
Indiana,Indiana-Hoosiers
Indiana St,Indiana-St-Sycamores
Iona,Iona-Gaels
Iowa,Iowa-Hawkeyes
Iowa State,Iowa-State-Cyclones
IPFW,Purdue-Fort-Wayne-Mastodons
IUPUI,IUPUI-Jaguars
Jackson St,Jackson-State-Tigers
Jacksonville,Jacksonville-Dolphins
